PlayerID,Name,Position,Age,Nationality,Appearances,Goals,Assists,YellowCards,RedCards,MinutesPlayed
1,Lucas Meyer,GK,30,Germany,38,0,0,1,0,3420
2,Daniel Novak,GK,24,Czech Republic,10,0,0,0,0,900
3,Marco Silva,D,28,Portugal,35,2,3,4,0,3100
4,James O'Connor,D,31,Ireland,33,1,2,5,0,2950
5,Victor Hugo,D,27,Brazil,30,3,1,3,0,2800
6,Noah Fischer,D,25,Germany,29,0,4,2,0,2600
7,Leo Petrov,D,29,Bulgaria,27,1,1,6,0,2400
8,Ahmed Khan,D,23,Pakistan,25,0,2,2,0,2200
9,Ethan Cole,M,26,England,34,6,8,3,0,3000
10,Luca Romano,M,28,Italy,36,4,10,2,0,3100
11,Samir Haddad,M,27,Algeria,30,5,6,4,0,2700
12,Jonas Berg,M,24,Sweden,29,3,5,3,0,2500
13,Mateo Costa,M,22,Spain,26,2,4,2,0,2300
14,Tyler Adams,M,25,USA,24,1,3,5,1,2000
15,Hugo Fernandez,M,21,Argentina,22,0,2,1,0,1800
16,Andre Silva,F,26,Portugal,33,15,4,2,0,2900
17,Marcus Reed,F,25,England,32,12,6,1,0,2800
18,Daniel Cruz,F,27,Mexico,35,18,3,3,0,3000
19,Ethan Walker,F,23,England,28,10,2,2,0,2400
20,Noah Kim,F,22,South Korea,26,7,5,1,0,2200
21,Pedro Alvarez,F,24,Colombia,24,5,2,2,0,2000
22,Ryan Scott,D,21,Scotland,18,0,1,1,0,1500
23,Oliver Grant,M,23,England,20,2,3,2,0,1700
